titles,category
러 외무차관  새정부와 관계 정상화 고려할 준비,World
북한군 추정 군인 드론 공격에 속수무책,World
시끄러운 은 들어오지마미국판 노키즈존 등장에 시끌,World
주한미군 현 수준으로 유지 국방수권법 미 상원도 통과,World
가자휴전 수일 내 타결 관측바이든 막판 미 고위급 중동 포진,World
설리번 민주제도 꺾여도 버티느냐가 관건한국 버티고 있어,World
 중동산 천연가스의 유럽행 관문 러가 시리아 내전 개입했던 진짜 이유최준영의  지정학,World
일인 줄 알았는데 개월간 지구로 못 돌아온 우주비행사무슨 일,World
트럼프 내년 월 중순 이시바 만날 수 있다고 통보,World
 머스크 정부 보안규정 위반 조사글로벌 비즈,World
 캐나다 정치 흔드는 트럼프 에도 경고,World
러시아에 파병한 북 미국 탓장거리 무기 허용해 위기 고조,World
치사율  대유행 시간문제 서 조류 인플루엔자 첫 중증환자,World
러 장성 폭사에 더타임스 정당방어러 조심해라 위협,World
미국 중국 핵탄두 백 개 이상 보유년까지 천 개 넘을 전망,World
연준 금리 덜 내릴 것글로벌 금융시장에 충격파,World
 핵탄두 올해 개 년이면 개 넘어핵전력 확대,World
블링컨 이란 핵무기 보유시 어찌될지 알아트럼프 정부서도 협상 가능,World
러 지중해 관문 시리아 군기지 결국 문닫나리비아로 철수,World
러의  불안정 전략폴란드 난민 권리 일시 제한 법안 채택,World
젤렌스키 돈바스 되찾을 힘 없어러 트럼프 정부와 관계 정상화 준비,World
트럼프 정부 셧다운 코앞서 예산처리 발목부채한도 증액해야,World
트럼프 이시바와 만날 듯 다음 달 취임 전 의향 전달,World
러 북중러에 대한 미국 지정학적 게임 핵 재앙 초래할 수도상보,World
비행 분 만에 내린 결론 일본 또 실패 지금이뉴스,World
내년에 고액기부 신입생 좀 많이 명문대 기부금 입학 발각,World
미 국방부 중국 핵탄두 개 이상 보유년까지 핵전력 확대종합,World
트럼프 예산안 처리 발목잡았다부채한도 증액해야,World
 엔비디아 주가 일 연속 하락 마감일만에 달러 하회종합,World
오픈 유니콘 배 헥토콘 등극 치솟는 몸값에 벤처캐피털 업계 고민 ,World
국무 공습 검토 트럼프 향해 이란과 핵협상 여지 있어,World
의 황당한 주장 러북관계는 국제 평화와 안보에 긍정적,World
트럼프 에 취임전 월 중순 이시바와 회담 의향 전달,World
내년  금리인하 두 번만매파 파월 추가 인하 신중종합,World
드론 앞 좀비처럼 몰려와 떼죽음무지한 북한군에 러 특단대책,World
캐나다 미국의 번째 주 되길 원해트럼프의 야욕,World
트럼프 부채한도 증액해야정부 셧다운 코앞서 예산처리 발목종합,World
안보보좌관 비상계엄에 민주제도 꺾여도 버텨내느냐가 관건,World
셧다운 눈앞인데트럼프 임시예산안 합의에 배신 비판,World
자막뉴스 아시아판 나토 구도에 불만러 핵재앙 초래 경고,World
미국 중국 보유 핵탄두 개 이상년 개 넘을 것,World
